"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Erp29",0.0498834156908548,0.649495488634182,0.276,0.194,1,"Erp29","OPC","P23","Up"
"Msl2",0.0501149776435717,-0.55985162544294,0.222,0.306,1,"Msl2","OPC","P23","Down"
"Psmc6",0.0506256138582491,-0.309217241886457,0.262,0.367,1,"Psmc6","OPC","P23","Down"
"Myo9a",0.0508568255344702,0.651406344086583,0.258,0.178,1,"Myo9a","OPC","P23","Up"
"Srrm1",0.0508599138420912,-0.364225886276615,0.425,0.539,1,"Srrm1","OPC","P23","Down"
"Grin1",0.0513762433337522,-0.433699704158035,0.217,0.306,1,"Grin1","OPC","P23","Down"
"Rusc2",0.0517272076991711,0.446052644929968,0.33,0.25,1,"Rusc2","OPC","P23","Up"
"Samd5",0.0517542230826311,-0.576690364832887,0.217,0.294,1,"Samd5","OPC","P23","Down"
"Rrbp1",0.0518780564877741,0.57374193458542,0.38,0.311,1,"Rrbp1","OPC","P23","Up"
"Lsm14b",0.0528974311047409,0.496205522778574,0.353,0.261,1,"Lsm14b","OPC","P23","Up"
"Aig1",0.0535364747477672,-0.549646942101182,0.208,0.289,1,"Aig1","OPC","P23","Down"
"Zfp652",0.0535850602520153,-0.415565053481978,0.186,0.272,1,"Zfp652","OPC","P23","Down"
