"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","TimePoint","Regulation"
"Meis2",0.690171163065963,-0.0592441933622818,0.331,0.363,1,"Meis2","OPC_1","P08","Down"
"Hpf1",0.690368505855607,-0.059635718930399,0.247,0.269,1,"Hpf1","OPC_1","P08","Down"
"Tent2",0.690524971923927,-0.00326180711494328,0.3,0.331,1,"Tent2","OPC_1","P08","Down"
"Nt5c2",0.691266225394624,0.0823867165638984,0.262,0.257,1,"Nt5c2","OPC_1","P08","Up"
"Cryzl1",0.693056552074065,0.0616209545830688,0.417,0.457,1,"Cryzl1","OPC_1","P08","Up"
"Chl1",0.693117054685511,0.055300623175037,0.443,0.494,1,"Chl1","OPC_1","P08","Up"
"Unc79",0.693190800899655,0.0513143128458095,0.385,0.388,1,"Unc79","OPC_1","P08","Up"
"Zfp426",0.694005893157643,-0.00451705836285468,0.24,0.265,1,"Zfp426","OPC_1","P08","Down"
"Agap3",0.694587009128604,-0.00529173640004099,0.347,0.335,1,"Agap3","OPC_1","P08","Down"
"Uqcrc1",0.694992170959928,0.0156777300244088,0.26,0.29,1,"Uqcrc1","OPC_1","P08","Up"
"Cep350",0.695120365204113,-0.0887628127840742,0.26,0.278,1,"Cep350","OPC_1","P08","Down"
"Rnps1",0.696097759346471,-0.00266671145958702,0.256,0.278,1,"Rnps1","OPC_1","P08","Down"
"Col11a2",0.696483058234419,0.0839253591147138,0.413,0.4,1,"Col11a2","OPC_1","P08","Up"
"Brwd1",0.696599252258083,-0.0413824352495942,0.407,0.437,1,"Brwd1","OPC_1","P08","Down"
"Msantd2",0.697169084727493,-0.0402097223203406,0.339,0.367,1,"Msantd2","OPC_1","P08","Down"
"Plcb1",0.697488539503697,-0.0380214614425294,0.313,0.331,1,"Plcb1","OPC_1","P08","Down"
"Ckb",0.697649201735264,0.0256981745251403,0.623,0.62,1,"Ckb","OPC_1","P08","Up"
"Dcaf15",0.699187373286818,0.0445871355671468,0.364,0.347,1,"Dcaf15","OPC_1","P08","Up"
"Ecpas",0.699627063644787,-0.0527965410118199,0.479,0.486,1,"Ecpas","OPC_1","P08","Down"
"Taok2",0.700469504840026,-0.116876799279261,0.403,0.416,1,"Taok2","OPC_1","P08","Down"
"Tmem132d",0.700898582233206,0.0459963671497434,0.44,0.461,1,"Tmem132d","OPC_1","P08","Up"
"Sgsm2",0.701221728424873,0.0985666151972105,0.259,0.249,1,"Sgsm2","OPC_1","P08","Up"
"Svil",0.702111479378752,0.143594885878916,0.369,0.363,1,"Svil","OPC_1","P08","Up"
"Dmxl2",0.702309060752117,0.0723573109297782,0.462,0.461,1,"Dmxl2","OPC_1","P08","Up"
"Pcdh15",0.702335356586243,-0.0277444586510551,0.966,0.967,1,"Pcdh15","OPC_1","P08","Down"
"Hnrnpd",0.70292760893398,0.0334569960984789,0.239,0.261,1,"Hnrnpd","OPC_1","P08","Up"
"Rbm5",0.703186485014512,0.0225900208863914,0.76,0.771,1,"Rbm5","OPC_1","P08","Up"
"Ncoa6",0.703315325660293,-0.0445640836740949,0.348,0.376,1,"Ncoa6","OPC_1","P08","Down"
"Fchsd2",0.704683190653689,0.0173958508089997,0.854,0.869,1,"Fchsd2","OPC_1","P08","Up"
"Clk2",0.706249280030011,0.0496983863828329,0.453,0.498,1,"Clk2","OPC_1","P08","Up"
"Hectd4",0.706636428240948,-0.100325483619759,0.363,0.38,1,"Hectd4","OPC_1","P08","Down"
"Sptbn2",0.706682000951708,0.025418249495785,0.256,0.282,1,"Sptbn2","OPC_1","P08","Up"
"Dok6",0.707392941787878,0.0376107312319116,0.323,0.318,1,"Dok6","OPC_1","P08","Up"
"Ubp1",0.707526807037244,0.0398265513916363,0.548,0.6,1,"Ubp1","OPC_1","P08","Up"
"Alcam",0.707885732854616,-0.0181061388874855,0.67,0.669,1,"Alcam","OPC_1","P08","Down"
"Wdr37",0.708596263199603,-0.086237709527191,0.264,0.278,1,"Wdr37","OPC_1","P08","Down"
